id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,7528,RIBU RUPIAH,2020
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,15308,RIBU RUPIAH,2020
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,9047,RIBU RUPIAH,2020
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,16756,RIBU RUPIAH,2020
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,8316,RIBU RUPIAH,2020
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,12856,RIBU RUPIAH,2020
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,3904,RIBU RUPIAH,2020
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,12838,RIBU RUPIAH,2020
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,7134,RIBU RUPIAH,2020
145,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,17217,RIBU RUPIAH,2020
146,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,9524,RIBU RUPIAH,2020
147,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,15261,RIBU RUPIAH,2020
148,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,10199,RIBU RUPIAH,2020
149,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,22490,RIBU RUPIAH,2020
150,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,16024,RIBU RUPIAH,2020
151,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,15469,RIBU RUPIAH,2020
152,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,11370,RIBU RUPIAH,2020
153,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,21662,RIBU RUPIAH,2020
